GeneID,SRR8750495,SRR8750496,SRR8750497,SRR8750498
HBE1,0.514367,0.0,0.141548,1.102713
HBEGF,7.659739,11.027159,12.740266,6.395227
HBG1,0.0,0.0,0.0,0.0
HBG2,0.0,0.0,0.0,0.524926
HBM,0.0,1.659958,0.0,2.587017
HBP1,14.787135,9.72546,26.292835,10.558045
HBQ1,16.801405,18.033167,6.116668,29.090885
HBS1L,25.940201,19.189037,14.967936,21.666321
HBZ,1.041397,0.0,1.968305,0.508193
HCAR1,0.698978,0.327557,1.694049,0.316359
HCAR2,0.336163,0.968336,1.567066,0.381438
HCAR3,0.192072,0.290682,1.092175,0.156782
HCCAT5,0.0,0.0,0.0,0.0
HCCS,22.996613,18.076504,12.713488,22.524458
HCCS-DT,0.09018,0.317437,0.205565,0.0
HCFC1,24.716299,17.257639,24.342531,19.038145
HCFC1-AS1,0.0,1.37126,1.757708,0.606011
